contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,Maturity,Spot
SPXW260331C06220000,2025-11-18 17:03:03+00:00,6220.0,642.36,803.7,809.9,0.0,0.0,2.0,1,0.46702345726013184,True,REGULAR,USD,0.08487337440109514,6908.85986328125
SPXW260331C06225000,2025-11-10 20:11:23+00:00,6225.0,795.29,798.9,805.1,0.0,0.0,98.0,149,0.4652610847473145,True,REGULAR,USD,0.08487337440109514,6908.85986328125
SPXW260331C06240000,2025-12-30 18:12:00+00:00,6240.0,756.42,761.2,767.6,0.0,0.0,1.0,1,0.42041976680755616,True,REGULAR,USD,0.08487337440109514,6908.85986328125
SPXW260331C06260000,2025-08-21 16:02:42+00:00,6260.0,465.81,626.7,665.4,0.0,0.0,4.0,4,0.2326126544189453,True,REGULAR,USD,0.08487337440109514,6908.85986328125
SPXW260331C06270000,2025-09-16 14:06:31+00:00,6270.0,618.21,643.9,634.0,0.0,0.0,2.0,1,1.0000000000000003e-05,True,REGULAR,USD,0.08487337440109514,6908.85986328125
SPXW260331C06280000,2025-11-13 19:10:27+00:00,6280.0,682.6,748.2,754.4,0.0,0.0,1.0,29,0.4491212620162963,True,REGULAR,USD,0.08487337440109514,6908.85986328125
SPXW260331C06290000,2025-09-25 15:32:56+00:00,6290.0,596.91,660.7,672.8,0.0,0.0,2.0,4,0.3170463193511963,True,REGULAR,USD,0.08487337440109514,6908.85986328125
SPXW260331C06310000,2025-11-17 16:42:37+00:00,6310.0,643.35,720.9,727.0,0.0,0.0,2.0,5,0.44050013240814206,True,REGULAR,USD,0.08487337440109514,6908.85986328125
SPXW260331C06320000,2025-08-08 19:28:37+00:00,6320.0,441.97,580.2,617.9,0.0,0.0,1.0,4,0.25069795330047606,True,REGULAR,USD,0.08487337440109514,6908.85986328125
SPXW260331C06330000,2025-12-26 15:22:09+00:00,6330.0,706.54,678.2,684.2,0.0,0.0,1.0,13,0.3950026930999756,True,REGULAR,USD,0.08487337440109514,6908.85986328125
SPXW260331C06340000,2025-09-03 14:53:50+00:00,6340.0,449.85,568.2,572.2,0.0,0.0,4.0,2,0.15021601745605473,True,REGULAR,USD,0.08487337440109514,6908.85986328125
SPXW260331C06360000,2025-08-20 15:59:42+00:00,6360.0,392.75,562.7,568.3,0.0,0.0,4.0,3,0.2122881506347656,True,REGULAR,USD,0.08487337440109514,6908.85986328125
SPXW260331C06380000,2025-12-04 18:15:46+00:00,6380.0,641.57,657.8,663.7,0.0,0.0,4.0,4,0.42065627567291264,True,REGULAR,USD,0.08487337440109514,6908.85986328125
SPXW260331C06395000,2025-10-24 13:46:14+00:00,6395.0,630.0,572.9,580.6,0.0,0.0,1.0,1,0.3028863047027588,True,REGULAR,USD,0.08487337440109514,6908.85986328125
SPXW260331C06425000,2026-01-05 20:34:44+00:00,6425.0,586.27,512.8,518.5,0.0,0.0,1.0,89,0.2294045261001587,True,REGULAR,USD,0.08487337440109514,6908.85986328125
SPXW260331C06430000,2026-01-05 20:34:44+00:00,6430.0,581.83,566.0,590.0,0.0,0.0,1.0,6,0.3624865387725831,True,REGULAR,USD,0.08487337440109514,6908.85986328125
SPXW260331C06435000,2026-01-08 21:08:12+00:00,6435.0,589.73,585.0,594.0,0.0,0.0,9.0,9,0.3742242448806763,True,REGULAR,USD,0.08487337440109514,6908.85986328125
